               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,             0.01869,            0.012725,           0.0072289,             0.80141,             0.70983,             0.78131,             0.57264,            0.010681,           0.0041453,            0.011886,           0.0084903,           0.0084903,           0.0084903
                  63,            0.018352,            0.013183,            0.008996,             0.79048,             0.70857,             0.78489,             0.54919,            0.011119,           0.0042363,            0.012167,           0.0084655,           0.0084655,           0.0084655
                  64,            0.017869,            0.012959,           0.0074188,             0.75175,             0.68111,             0.74579,             0.50405,            0.013428,            0.004228,            0.013631,           0.0084408,           0.0084408,           0.0084408
                  65,            0.017957,            0.013104,           0.0076617,             0.85442,             0.66284,             0.75402,             0.50096,             0.01154,           0.0043167,            0.015833,            0.008416,            0.008416,            0.008416
                  66,            0.018266,            0.013163,            0.007827,             0.85403,             0.67214,              0.7839,             0.57178,            0.011312,           0.0040372,            0.012438,           0.0083913,           0.0083913,           0.0083913
                  67,             0.01857,            0.013067,           0.0074642,             0.77876,             0.72641,             0.79019,             0.59758,            0.010423,           0.0038935,            0.013025,           0.0083665,           0.0083665,           0.0083665
                  68,            0.018079,            0.013081,           0.0080205,             0.64862,             0.68171,             0.68435,             0.46396,            0.010805,           0.0048936,            0.016289,           0.0083418,           0.0083418,           0.0083418
                  69,            0.017684,            0.012692,           0.0096296,             0.63731,             0.72493,             0.75429,             0.52835,            0.011762,           0.0042984,            0.015628,            0.008317,            0.008317,            0.008317
                  70,            0.017759,            0.013083,           0.0090001,             0.69602,             0.79033,             0.78831,             0.57983,            0.010064,           0.0043239,            0.012688,           0.0082922,           0.0082922,           0.0082922
                  71,            0.018378,            0.013013,           0.0076872,             0.52085,              0.6481,              0.6533,             0.46687,             0.01107,           0.0040568,             0.01955,           0.0082675,           0.0082675,           0.0082675
                  72,            0.017746,            0.012282,           0.0082715,             0.74565,             0.69162,             0.77201,             0.57591,            0.010064,           0.0044331,            0.014498,           0.0082428,           0.0082428,           0.0082428
                  73,            0.017929,            0.012561,           0.0077679,             0.81711,             0.70613,             0.78546,             0.58759,           0.0098699,           0.0041604,            0.017606,            0.008218,            0.008218,            0.008218
                  74,            0.017386,            0.012328,           0.0085944,             0.71583,             0.67853,             0.74097,             0.56184,            0.010364,           0.0043505,            0.019924,           0.0081932,           0.0081932,           0.0081932
                  75,            0.017726,            0.012853,           0.0073992,             0.64597,             0.72003,             0.74354,             0.55916,            0.011746,           0.0041848,            0.015457,           0.0081685,           0.0081685,           0.0081685
                  76,             0.01751,            0.011702,           0.0083946,             0.80165,             0.64682,             0.74553,              0.5519,            0.010591,           0.0042273,            0.014275,           0.0081437,           0.0081437,           0.0081437
                  77,            0.018496,            0.012729,           0.0081029,              0.6748,             0.74768,             0.75653,             0.54934,            0.010812,           0.0042716,            0.019038,            0.008119,            0.008119,            0.008119
                  78,            0.017799,            0.012946,           0.0088113,             0.60227,             0.71308,              0.7234,             0.49338,            0.012169,           0.0040496,            0.016777,           0.0080942,           0.0080942,           0.0080942
                  79,            0.017874,            0.012948,           0.0079767,             0.81134,             0.69651,             0.77531,             0.56929,            0.010726,           0.0038117,            0.013469,           0.0080695,           0.0080695,           0.0080695
                  80,            0.018461,            0.012468,           0.0084008,             0.78542,              0.6928,             0.77397,             0.55722,             0.01098,           0.0041899,            0.016762,           0.0080447,           0.0080447,           0.0080447
                  81,            0.017924,             0.01272,           0.0075497,              0.7914,             0.70849,             0.78794,             0.57692,            0.010047,           0.0042542,            0.014686,             0.00802,             0.00802,             0.00802
                  82,            0.018149,            0.012589,           0.0075105,             0.71799,             0.75261,             0.77956,             0.55976,            0.011686,            0.003734,            0.016389,           0.0079953,           0.0079953,           0.0079953
                  83,            0.017189,            0.012571,           0.0077504,             0.78179,             0.71339,               0.774,             0.57436,            0.010934,           0.0038831,            0.015042,           0.0079705,           0.0079705,           0.0079705
                  84,            0.016558,            0.012565,           0.0083052,             0.78246,             0.72384,             0.79786,             0.60552,            0.010614,           0.0040024,            0.012092,           0.0079457,           0.0079457,           0.0079457
                  85,            0.016928,            0.012234,           0.0078169,             0.76871,             0.73442,             0.78824,             0.61907,            0.010429,           0.0039548,            0.012833,            0.007921,            0.007921,            0.007921
                  86,            0.017323,            0.012314,           0.0087293,              0.7782,             0.70192,             0.80738,             0.59126,            0.010896,           0.0040853,            0.017424,           0.0078963,           0.0078963,           0.0078963
                  87,            0.018131,             0.01241,           0.0079557,             0.86987,             0.72621,             0.83261,             0.62685,           0.0098396,           0.0039014,            0.011795,           0.0078715,           0.0078715,           0.0078715
                  88,            0.016961,            0.012699,             0.00836,             0.82276,             0.69756,             0.80375,             0.60553,           0.0094505,           0.0040351,             0.01113,           0.0078467,           0.0078467,           0.0078467
                  89,            0.017229,            0.012559,           0.0085768,             0.80422,             0.73869,             0.81219,             0.59877,           0.0094751,           0.0042989,            0.011673,            0.007822,            0.007822,            0.007822
                  90,             0.01798,             0.01264,           0.0083916,             0.87766,             0.71576,              0.8138,             0.59369,           0.0098581,           0.0040765,            0.011354,           0.0077973,           0.0077973,           0.0077973
                  91,             0.01747,            0.012449,            0.008764,             0.76604,               0.698,             0.77534,             0.58256,            0.010175,           0.0040003,            0.012876,           0.0077725,           0.0077725,           0.0077725
                  92,            0.017559,            0.012597,           0.0085793,             0.81341,             0.71716,             0.79468,             0.60695,             0.01048,           0.0038871,            0.011303,           0.0077478,           0.0077478,           0.0077478
                  93,            0.017883,            0.012529,           0.0083824,             0.87224,             0.76088,             0.82765,             0.62009,            0.010889,           0.0038526,             0.01374,            0.007723,            0.007723,            0.007723
                  94,            0.017961,            0.012579,           0.0083451,             0.85795,             0.67242,             0.79457,             0.59543,            0.010233,            0.003921,            0.012865,           0.0076983,           0.0076983,           0.0076983
                  95,            0.017068,              0.0123,           0.0085249,             0.81348,             0.73767,              0.8029,              0.6235,           0.0094552,           0.0038801,            0.011985,           0.0076735,           0.0076735,           0.0076735
                  96,            0.017721,            0.012482,           0.0085533,             0.80821,             0.74797,             0.79493,             0.63277,           0.0095795,           0.0040651,            0.013441,           0.0076488,           0.0076488,           0.0076488
                  97,            0.017675,            0.012632,           0.0073245,              0.7853,             0.72487,             0.80464,             0.62005,           0.0095957,           0.0039058,            0.013893,            0.007624,            0.007624,            0.007624
                  98,            0.018037,            0.012219,           0.0075076,             0.82944,             0.69317,             0.80202,             0.63547,           0.0092054,           0.0038118,            0.011672,           0.0075993,           0.0075993,           0.0075993
                  99,            0.016632,            0.012393,           0.0072109,             0.80801,             0.69977,             0.82551,             0.62109,           0.0095521,           0.0037354,            0.012857,           0.0075745,           0.0075745,           0.0075745
                 100,            0.017171,             0.01215,            0.006942,             0.77604,             0.71637,              0.7995,             0.59928,           0.0095654,            0.003876,            0.012742,           0.0075498,           0.0075498,           0.0075498
                 101,            0.017271,            0.012327,           0.0071782,             0.83564,             0.71183,             0.80215,             0.61963,            0.010208,           0.0040353,            0.010884,            0.007525,            0.007525,            0.007525
                 102,            0.016838,            0.011898,           0.0069486,             0.78122,              0.7589,             0.80221,             0.62356,           0.0089348,           0.0041827,            0.010698,           0.0075003,           0.0075003,           0.0075003
                 103,            0.017797,            0.012141,           0.0072116,             0.81845,             0.74854,             0.78944,             0.61783,           0.0090876,           0.0039762,            0.011733,           0.0074755,           0.0074755,           0.0074755
                 104,            0.017834,            0.012478,           0.0079318,             0.72926,             0.75226,              0.8012,             0.58049,            0.010168,           0.0038619,            0.012739,           0.0074507,           0.0074507,           0.0074507
                 105,            0.016498,            0.011642,           0.0071309,              0.7836,             0.70965,              0.8011,             0.60653,            0.010529,           0.0038447,            0.012427,            0.007426,            0.007426,            0.007426
                 106,            0.016705,            0.012251,           0.0063309,             0.81194,             0.65976,             0.77947,             0.57302,           0.0091264,            0.004197,            0.012901,           0.0074013,           0.0074013,           0.0074013
                 107,            0.017401,            0.012344,           0.0068488,             0.77767,             0.76754,             0.79854,             0.62172,            0.009757,           0.0040005,            0.012976,           0.0073765,           0.0073765,           0.0073765
                 108,            0.016467,             0.01159,           0.0064979,             0.78627,             0.72944,             0.77989,             0.59889,           0.0099315,           0.0036603,            0.012158,           0.0073517,           0.0073517,           0.0073517
                 109,            0.016523,            0.012126,           0.0068478,             0.73469,             0.68308,             0.76943,             0.59038,            0.010378,           0.0037967,            0.012123,            0.007327,            0.007327,            0.007327
                 110,            0.017213,            0.012357,           0.0072783,             0.80005,             0.69843,             0.79266,             0.62801,           0.0091987,           0.0036773,            0.011794,           0.0073023,           0.0073023,           0.0073023
                 111,            0.016454,            0.011927,             0.00606,             0.78727,             0.70954,             0.79556,             0.63514,           0.0091605,           0.0036052,            0.011595,           0.0072775,           0.0072775,           0.0072775
                 112,            0.016817,            0.012404,           0.0063337,             0.80673,             0.73502,              0.8158,             0.63769,           0.0088841,           0.0037469,            0.010659,           0.0072527,           0.0072527,           0.0072527
                 113,            0.016736,            0.012054,           0.0069216,             0.79273,             0.72327,             0.81134,              0.6088,            0.010114,           0.0038078,            0.010575,            0.007228,            0.007228,            0.007228
                 114,            0.016843,            0.011533,           0.0064422,             0.65496,             0.76234,             0.78992,             0.58466,            0.010403,            0.003891,            0.010525,           0.0072033,           0.0072033,           0.0072033
                 115,            0.017971,            0.012249,           0.0063427,             0.77916,             0.72508,             0.80439,              0.6466,           0.0089781,           0.0037278,            0.011341,           0.0071785,           0.0071785,           0.0071785
                 116,             0.01673,            0.011958,           0.0054987,             0.85973,             0.73263,             0.80503,             0.62081,           0.0098637,           0.0039435,            0.011955,           0.0071538,           0.0071538,           0.0071538
                 117,            0.016471,            0.012073,           0.0069997,             0.79607,             0.69625,             0.79475,              0.5998,            0.010446,           0.0037745,            0.011662,            0.007129,            0.007129,            0.007129
                 118,            0.016821,            0.011951,           0.0063922,              0.8418,             0.68069,             0.79849,             0.60015,           0.0097929,           0.0039239,            0.011784,           0.0071042,           0.0071042,           0.0071042
                 119,            0.015906,            0.011448,            0.005881,             0.77297,             0.71697,              0.8042,             0.59817,            0.010173,            0.003808,            0.011323,           0.0070795,           0.0070795,           0.0070795
                 120,            0.016811,            0.011693,           0.0075994,             0.79916,             0.54054,             0.71387,              0.4933,            0.012109,           0.0043151,            0.014322,           0.0070547,           0.0070547,           0.0070547
                 121,            0.016411,            0.012147,           0.0074449,             0.80425,             0.71489,             0.79565,             0.60953,           0.0095766,           0.0037699,            0.011939,             0.00703,             0.00703,             0.00703
                 122,            0.016207,             0.01176,           0.0071372,              0.7553,             0.74369,             0.78159,             0.60897,            0.010022,           0.0036965,            0.012595,           0.0070053,           0.0070053,           0.0070053
                 123,            0.016052,            0.011623,           0.0063583,             0.75812,             0.71133,             0.78523,             0.61679,           0.0099052,           0.0038748,            0.011763,           0.0069805,           0.0069805,           0.0069805
                 124,            0.016834,              0.0117,           0.0065234,             0.77382,             0.68982,              0.7762,             0.58296,             0.01019,           0.0039603,             0.01281,           0.0069558,           0.0069558,           0.0069558
                 125,            0.016328,             0.01218,           0.0076672,             0.84804,             0.73877,              0.8108,             0.63206,           0.0094938,           0.0039303,            0.010379,            0.006931,            0.006931,            0.006931
                 126,            0.017426,            0.012008,           0.0057154,             0.86634,             0.75411,             0.79824,             0.61735,             0.01004,           0.0039129,            0.010265,           0.0069063,           0.0069063,           0.0069063
                 127,             0.01577,            0.011961,           0.0071804,             0.79884,             0.71368,             0.79753,             0.60905,            0.010401,           0.0040754,            0.011879,           0.0068815,           0.0068815,           0.0068815
                 128,            0.016565,            0.012458,           0.0077259,             0.85858,             0.63433,             0.79728,             0.60153,            0.009788,            0.004262,            0.013057,           0.0068568,           0.0068568,           0.0068568
                 129,            0.016051,            0.011968,           0.0061952,               0.758,             0.72412,               0.789,             0.59485,            0.010927,           0.0040264,            0.011317,            0.006832,            0.006832,            0.006832
                 130,            0.016899,            0.011987,           0.0061767,             0.82118,             0.69563,             0.79051,              0.6091,           0.0099375,           0.0041318,            0.012065,           0.0068073,           0.0068073,           0.0068073
                 131,             0.01597,            0.011848,           0.0075046,             0.77311,             0.66914,             0.76011,             0.58553,           0.0099584,           0.0040115,            0.013606,           0.0067825,           0.0067825,           0.0067825
                 132,            0.015235,            0.011656,           0.0063499,             0.83627,             0.72387,             0.80302,             0.58177,            0.010578,            0.003886,             0.01308,           0.0067577,           0.0067577,           0.0067577
                 133,            0.017141,            0.012218,            0.006287,             0.78751,             0.73016,             0.79349,             0.62436,             0.00972,           0.0039206,            0.012915,            0.006733,            0.006733,            0.006733
                 134,            0.015574,            0.011635,           0.0060162,             0.74129,             0.76916,             0.80113,             0.62505,           0.0097405,           0.0039753,            0.014071,           0.0067082,           0.0067082,           0.0067082
                 135,            0.014758,            0.011285,            0.006997,             0.78024,             0.71267,             0.80909,              0.6189,            0.009579,           0.0036631,            0.014111,           0.0066835,           0.0066835,           0.0066835
                 136,            0.015724,            0.011366,           0.0069437,             0.80033,             0.74074,             0.81368,             0.62512,           0.0098691,           0.0038719,             0.01404,           0.0066587,           0.0066587,           0.0066587
                 137,            0.016255,            0.011967,           0.0066803,             0.74468,             0.71202,             0.77808,             0.59753,           0.0097502,           0.0036048,            0.017728,            0.006634,            0.006634,            0.006634
                 138,            0.016797,            0.011892,           0.0060967,             0.82717,             0.70002,             0.78834,             0.60557,           0.0098681,            0.003545,            0.016027,           0.0066092,           0.0066092,           0.0066092
                 139,            0.016628,            0.011725,           0.0062623,             0.81063,             0.68305,             0.78042,             0.60384,           0.0092435,           0.0036825,            0.014237,           0.0065845,           0.0065845,           0.0065845
